Date, Iteration, Virial Sum, Potential Energy 
2026-02-15 21:26:54,0,-4401929.881787158,-27675963.90874038
2026-02-15 21:27:24,1,-4402518.655360161,-27677603.066367995
2026-02-15 21:27:53,2,-4403499.911811494,-27680329.797191665
2026-02-15 21:28:12,3,-4404873.6267153965,-27684136.33251016
2026-02-15 21:28:36,4,-4406639.760268248,-27689011.702390473
2026-02-15 21:29:01,5,-4408798.251938433,-27694941.839734778
2026-02-15 21:29:19,6,-4411349.016865528,-27701911.821308855
2026-02-15 21:29:43,7,-4414292.013238422,-27709939.02938266
2026-02-15 21:30:08,8,-4417627.556775094,-27719154.66068109
2026-02-15 21:30:32,9,-4421356.802220984,-27729837.94521526
2026-02-15 21:30:57,10,-4425482.07370267,-27742408.88318377
2026-02-15 21:31:21,11,-4430000.4074916905,-27757247.752818786
2026-02-15 21:31:46,12,-4434920.940793105,-27774627.34002787
2026-02-15 21:32:11,13,-4440247.488749557,-27794649.568384267
2026-02-15 21:32:35,14,-4445983.080631077,-27817157.935434967
2026-02-15 21:32:59,15,-4452129.812273374,-27841981.544140395
2026-02-15 21:33:18,16,-4458688.796478274,-27868855.98516835
2026-02-15 21:33:43,17,-4465659.984832905,-27897478.449640304
2026-02-15 21:34:08,18,-4473042.572305822,-27927557.685059875
2026-02-15 21:34:33,19,-4480834.623777523,-27958768.59837825
2026-02-15 21:34:59,20,-4489033.405752615,-27990790.267233633
2026-02-15 21:35:24,21,-4497603.101581923,-28023214.303793043
2026-02-15 21:35:49,22,-4506568.747220065,-28055996.754771315
2026-02-15 21:36:14,23,-4515925.06548049,-28088743.23199021
2026-02-15 21:36:39,24,-4525665.998317632,-28121279.675467037
2026-02-15 21:37:04,25,-4535784.5673806025,-28153404.93992073
2026-02-15 21:37:23,26,-4546272.662511784,-28184765.311486118
2026-02-15 21:37:49,27,-4557121.061727876,-28215197.995318055
2026-02-15 21:38:14,28,-4568319.251284304,-28244479.528743565
2026-02-15 21:38:39,29,-4579855.242572436,-28272188.413850434
2026-02-15 21:39:05,30,-4591715.316797182,-28298122.150102966
2026-02-15 21:39:30,31,-4603811.211200042,-28321882.11792209
2026-02-15 21:39:55,32,-4616194.764379603,-28343155.79946659
2026-02-15 21:40:21,33,-4628846.223899526,-28361634.657216825
2026-02-15 21:40:46,34,-4641743.138147647,-28376882.041652724
2026-02-15 21:41:12,35,-4654860.027533392,-28388488.086124387
2026-02-15 21:41:31,36,-4668168.065054991,-28395804.735067047
2026-02-15 21:41:57,37,-4681634.841130102,-28398476.179008387
2026-02-15 21:42:22,38,-4695223.901272179,-28395732.465987757
2026-02-15 21:42:48,39,-4708894.542834394,-28386944.928958565
2026-02-15 21:43:14,40,-4722601.546573614,-28371410.31502994
2026-02-15 21:43:40,41,-4736190.910138699,-28348522.282502837
