Date, Iteration, Virial Sum, Potential Energy 
2026-02-24 04:32:20,191,-5927693.816682317,-2749274.157567864
2026-02-24 04:32:48,192,-5936355.390645135,-2756727.60912727
2026-02-24 04:33:16,193,-5944952.738724355,-2764967.64102804
2026-02-24 04:33:43,194,-5953478.677421264,-2773930.291752958
2026-02-24 04:34:11,195,-5961925.892266295,-2783415.7922629816
2026-02-24 04:34:39,196,-5970287.219776102,-2793410.7215834586
2026-02-24 04:35:07,197,-5978555.980413928,-2803679.2855496565
2026-02-24 04:35:35,198,-5986726.093557223,-2814239.1468678294
2026-02-24 04:36:03,199,-5994792.250683862,-2824795.072514751
2026-02-24 04:36:31,200,-6002749.967107152,-2835408.682958595
2026-02-24 04:36:48,201,-6010578.391346945,-2846323.747339909
2026-02-24 04:37:16,202,-6018332.743532263,-2857736.9912594226
2026-02-24 04:37:44,203,-6026009.942760844,-2869567.482067956
2026-02-24 04:38:12,204,-6033606.971873953,-2881842.49681377
2026-02-24 04:38:40,205,-6041120.514674813,-2894436.9931883076
2026-02-24 04:39:08,206,-6048547.080062567,-2907242.704306413
2026-02-24 04:39:36,207,-6055882.850200002,-2920238.851612534
2026-02-24 04:40:04,208,-6063123.820908801,-2933339.5187436864
2026-02-24 04:40:32,209,-6070266.055245376,-2946449.1270667063
2026-02-24 04:41:00,210,-6077305.557485092,-2959531.3542741374
2026-02-24 04:41:17,211,-6084227.465059356,-2972714.7849733164
2026-02-24 04:41:45,212,-6091076.762303118,-2986217.6806460368
2026-02-24 04:42:13,213,-6097850.449203587,-3000036.9643104402
2026-02-24 04:42:41,214,-6104545.741256382,-3014168.6471703826
2026-02-24 04:43:09,215,-6111160.210992976,-3028467.571387186
2026-02-24 04:43:37,216,-6117691.964759599,-3042928.8627922228
2026-02-24 04:44:05,217,-6124139.506843258,-3057411.764701746
2026-02-24 04:44:34,218,-6130501.956567659,-3071970.486790746
2026-02-24 04:45:02,219,-6136779.013034534,-3086573.5809525806
2026-02-24 04:45:30,220,-6142970.798871198,-3101231.611927934
2026-02-24 04:45:47,221,-6149071.027262125,-3116116.5040529203
2026-02-24 04:46:15,222,-6155119.101946593,-3131497.731899782
2026-02-24 04:46:43,223,-6161114.876382106,-3147348.322209848
2026-02-24 04:47:11,224,-6167057.646730476,-3163649.1059690844
2026-02-24 04:47:39,225,-6172945.7396323765,-3180311.3529130956
2026-02-24 04:48:08,226,-6178776.606436075,-3197389.719559566
2026-02-24 04:48:36,227,-6184546.9811711,-3214739.3244175776
2026-02-24 04:49:04,228,-6190253.1734269485,-3232308.0806712545
2026-02-24 04:49:33,229,-6195891.451091439,-3250038.0154580884
2026-02-24 04:50:01,230,-6201458.571716477,-3267817.8625439806
2026-02-24 04:50:18,231,-6206947.817809131,-3285713.202912597
2026-02-24 04:50:46,232,-6212389.875313581,-3304128.4560030214
2026-02-24 04:51:14,233,-6217783.57160231,-3322907.008586413
2026-02-24 04:51:42,234,-6223127.917853267,-3342043.613114509
2026-02-24 04:52:10,235,-6228422.11570115,-3361452.37831726
2026-02-24 04:52:39,236,-6233665.027410853,-3381119.4058255907
2026-02-24 04:53:07,237,-6238855.215500251,-3401057.4732021405
2026-02-24 04:53:36,238,-6243990.629668632,-3421192.4427872254
2026-02-24 04:54:04,239,-6249068.719494841,-3441423.8346176324
2026-02-24 04:54:33,240,-6254086.703718588,-3461688.334756854
2026-02-24 04:54:49,241,-6259039.678857145,-3482195.8479374633
2026-02-24 04:55:18,242,-6263952.64608391,-3503009.8411908895
2026-02-24 04:55:46,243,-6268822.860657646,-3524209.5366615094
2026-02-24 04:56:14,244,-6273647.818937031,-3545575.3735473747
2026-02-24 04:56:42,245,-6278425.299664285,-3567166.439749567
2026-02-24 04:57:11,246,-6283153.206522464,-3588868.010536745
2026-02-24 04:57:39,247,-6287829.609593305,-3610678.8302485133
2026-02-24 04:58:08,248,-6292452.584562725,-3632564.2633322678
2026-02-24 04:58:36,249,-6297020.201370007,-3654420.9881808413
2026-02-24 04:59:05,250,-6301530.391891253,-3676256.545108987
2026-02-24 04:59:22,251,-6305980.432963435,-3698127.7409103373
2026-02-24 04:59:50,252,-6310391.430091391,-3720214.688249937
2026-02-24 05:00:18,253,-6314760.491642454,-3742484.500297072
2026-02-24 05:00:46,254,-6319084.456406125,-3764801.5069096005
2026-02-24 05:01:15,255,-6323359.931709159,-3787157.4187188465
2026-02-24 05:01:43,256,-6327583.45305702,-3809584.2035270734
2026-02-24 05:02:12,257,-6331751.516859134,-3831894.701048948
2026-02-24 05:02:40,258,-6335860.814204971,-3853931.73627382
2026-02-24 05:03:09,259,-6339908.494411404,-3875823.6241446706
2026-02-24 05:03:38,260,-6343892.002916972,-3897438.1540848427
2026-02-24 05:03:54,261,-6347810.091956262,-3918842.426064717
2026-02-24 05:04:23,262,-6351680.725559105,-3940248.333628324
2026-02-24 05:04:51,263,-6355502.101175237,-3961585.342482646
2026-02-24 05:05:19,264,-6359272.6248262515,-3982772.562350915
2026-02-24 05:05:48,265,-6362990.7861779565,-4003874.508708073
2026-02-24 05:06:16,266,-6366655.410812319,-4024728.2742267037
2026-02-24 05:06:45,267,-6370265.352509368,-4045445.797497888
2026-02-24 05:07:13,268,-6373819.855871632,-4065895.9735931684
2026-02-24 05:07:42,269,-6377318.585321075,-4086053.877659112
2026-02-24 05:08:11,270,-6380761.515305164,-4105883.8750023176
2026-02-24 05:08:28,271,-6384150.756068647,-4125604.1768054445
2026-02-24 05:08:56,272,-6387502.966302678,-4145370.4328790535
2026-02-24 05:09:24,273,-6390818.778405418,-4165111.5078627
2026-02-24 05:09:53,274,-6394098.877328928,-4184802.3795593986
2026-02-24 05:10:21,275,-6397343.926223618,-4204546.891473718
2026-02-24 05:10:50,276,-6400554.657094198,-4224244.925356936
2026-02-24 05:11:18,277,-6403731.956494595,-4243966.038489232
2026-02-24 05:11:47,278,-6406876.777014781,-4263679.781074398
2026-02-24 05:12:16,279,-6409989.91234785,-4283387.239961942
2026-02-24 05:12:45,280,-6413071.911427334,-4303039.494249963
2026-02-24 05:13:01,281,-6416125.286956583,-4322711.845809269
2026-02-24 05:13:29,282,-6419163.151714285,-4342612.529167514
2026-02-24 05:13:58,283,-6422184.51649902,-4362581.786869556
2026-02-24 05:14:26,284,-6425187.596434906,-4382728.980066244
2026-02-24 05:14:55,285,-6428169.730138698,-4402980.611690252
2026-02-24 05:15:23,286,-6431127.594992907,-4423290.154675601
2026-02-24 05:15:52,287,-6434057.209668816,-4443510.4685422955
2026-02-24 05:16:21,288,-6436953.945559842,-4463601.939147216
2026-02-24 05:16:49,289,-6439812.854631525,-4483509.274766453
2026-02-24 05:17:18,290,-6442629.186556195,-4503125.906446207
2026-02-24 05:17:35,291,-6445400.842480738,-4522494.106469141
2026-02-24 05:18:03,292,-6448135.579475171,-4541730.21474478
2026-02-24 05:18:32,293,-6450830.138870512,-4560649.119346749
2026-02-24 05:19:00,294,-6453482.246057986,-4579269.049707891
2026-02-24 05:19:29,295,-6456090.656270982,-4597623.270393439
2026-02-24 05:19:57,296,-6458655.002296124,-4615569.268159665
2026-02-24 05:20:26,297,-6461175.701103359,-4633255.3966431245
2026-02-24 05:20:55,298,-6463653.580871108,-4650619.282752639
2026-02-24 05:21:24,299,-6466089.76465823,-4667582.357916574
2026-02-24 05:21:53,300,-6468485.408036572,-4684297.577880521
2026-02-24 05:22:09,301,-6470844.431099103,-4700665.615204797
